Filename,Epsilon,Mu,Sigma,TanD,TanDFreq,EpsInfinity,DispModelEps,DispCoeff1Eps,DispCoeff2Eps,UseGeneralDispersionEps,ThermalConductivity,ThermalConductivityX,ThermalConductivityY,ThermalConductivityZ,HeatCapacity,ThermalExpansionRate,Emissivity,YoungsModulus,PoissonsRatio,Rho
Rogers RO4450B (loss free).mtd,3.7,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4450B (lossy).mtd,3.7,1.0,N/A,0.004,10.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4450F (loss free).mtd,3.7,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4450F (lossy).mtd,3.7,1.0,N/A,0.004,10.0,N/A,None,N/A,N/A,False,0.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4533 (loss free).mtd,3.45,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4533 (lossy).mtd,3.45,1.0,N/A,0.0025,10.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4534 (loss free).mtd,3.55,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4534 (lossy).mtd,3.55,1.0,N/A,0.0027,10.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4535 (loss free).mtd,3.66,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4535 (lossy).mtd,3.66,1.0,N/A,0.0037,10.0,N/A,None,N/A,N/A,False,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4725JXR (loss free).mtd,2.64,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4725JXR (lossy).mtd,2.64,1.0,N/A,0.0026,10.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Rogers RO4730G3 (loss free).mtd,2.98,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
